epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.1201,1.94623,4.9078,1.35225,0.07751,0.23838,0.07545,0.04877,1.24304,3.00683,0.97389,5.67361e-05,5.67361e-05,5.67361e-05
2,65.4037,1.61702,2.94877,1.16744,0.28187,0.48869,0.3546,0.22159,1.29763,2.13628,0.99971,0.00011294,0.00011294,0.00011294
3,96.5795,1.59506,2.2476,1.18587,0.5098,0.66061,0.64485,0.44074,1.10359,1.45127,0.97472,0.000168009,0.000168009,0.000168009
4,127.899,1.55014,1.82286,1.18432,0.64665,0.73547,0.77093,0.52298,1.12002,1.23254,0.97525,0.000166892,0.000166892,0.000166892
5,159.435,1.52939,1.57012,1.17414,0.81225,0.84666,0.92769,0.61984,1.16574,0.9618,0.98126,0.000165189,0.000165189,0.000165189
6,190.839,1.53562,1.41331,1.18749,0.85912,0.85889,0.93884,0.58911,1.27282,0.89768,1.01589,0.000163486,0.000163486,0.000163486
7,222.221,1.48404,1.27903,1.18189,0.89954,0.91724,0.95903,0.65956,1.10674,0.76382,0.97246,0.000161783,0.000161783,0.000161783
8,253.584,1.47505,1.16166,1.17099,0.91799,0.92469,0.96294,0.6586,1.11409,0.72198,0.97664,0.00016008,0.00016008,0.00016008
9,285.005,1.44227,1.11306,1.16812,0.94318,0.93121,0.97359,0.66381,1.11243,0.66949,0.9796,0.000158378,0.000158378,0.000158378
10,316.284,1.42412,1.06833,1.17048,0.94064,0.94339,0.97867,0.6808,1.06161,0.64943,0.96096,0.000156675,0.000156675,0.000156675
11,347.496,1.44246,1.04164,1.16265,0.95534,0.95305,0.978,0.67571,1.08604,0.63223,0.96855,0.000154972,0.000154972,0.000154972
12,378.629,1.40292,0.97999,1.16108,0.95703,0.94417,0.9787,0.66945,1.12228,0.63128,0.97504,0.000153269,0.000153269,0.000153269
13,409.774,1.386,0.95869,1.14643,0.94729,0.93188,0.97676,0.6614,1.14539,0.65381,0.97869,0.000151566,0.000151566,0.000151566
14,441.019,1.36622,0.92038,1.1429,0.95719,0.95926,0.98037,0.66493,1.13776,0.5947,0.9832,0.000149864,0.000149864,0.000149864
15,472.185,1.34783,0.88457,1.13705,0.97058,0.95946,0.98098,0.68176,1.07748,0.55253,0.96696,0.000148161,0.000148161,0.000148161
16,503.379,1.33435,0.87895,1.12581,0.94324,0.95147,0.97972,0.65315,1.15294,0.58572,1.00204,0.000146458,0.000146458,0.000146458
17,534.557,1.3117,0.83868,1.11953,0.96522,0.96274,0.98089,0.6851,1.0776,0.55143,0.96083,0.000144755,0.000144755,0.000144755
18,565.806,1.30456,0.84594,1.11876,0.96451,0.95544,0.97902,0.66288,1.12729,0.56559,0.99558,0.000143052,0.000143052,0.000143052
19,597.278,1.31519,0.84678,1.12239,0.96905,0.9597,0.97935,0.66981,1.10355,0.55163,0.98025,0.00014135,0.00014135,0.00014135
20,628.551,1.26635,0.81955,1.10138,0.96915,0.96314,0.98229,0.6726,1.11195,0.5307,0.98182,0.000139647,0.000139647,0.000139647
21,659.813,1.29213,0.80507,1.11843,0.96981,0.96345,0.98126,0.66256,1.14704,0.53589,0.9825,0.000137944,0.000137944,0.000137944
22,691.129,1.2551,0.77744,1.09757,0.97783,0.97122,0.98433,0.68068,1.09734,0.514,0.98004,0.000136241,0.000136241,0.000136241
23,722.424,1.23841,0.76234,1.09033,0.97958,0.96923,0.98401,0.68878,1.06507,0.49644,0.96803,0.000134538,0.000134538,0.000134538
24,753.853,1.24344,0.76866,1.09707,0.97697,0.96939,0.98462,0.69251,1.03841,0.50674,0.96448,0.000132836,0.000132836,0.000132836
25,785.27,1.20214,0.74214,1.08145,0.96861,0.96758,0.9836,0.69007,1.06484,0.50381,0.96838,0.000131133,0.000131133,0.000131133
26,816.613,1.20023,0.72554,1.07855,0.97284,0.96636,0.98429,0.68624,1.07604,0.50026,0.97386,0.00012943,0.00012943,0.00012943
27,847.902,1.18303,0.71278,1.06417,0.97449,0.96232,0.98325,0.67402,1.11429,0.51049,0.98984,0.000127727,0.000127727,0.000127727
28,879.169,1.19053,0.71206,1.0656,0.96496,0.96398,0.98308,0.68522,1.06509,0.4949,0.96256,0.000126024,0.000126024,0.000126024
29,910.301,1.16609,0.70482,1.06137,0.97064,0.95699,0.98179,0.69003,1.04774,0.4916,0.96914,0.000124322,0.000124322,0.000124322
30,941.765,1.15342,0.69466,1.05581,0.96886,0.96644,0.98203,0.68858,1.06347,0.48613,0.96799,0.000122619,0.000122619,0.000122619
31,973.004,1.14697,0.68507,1.05439,0.97701,0.96882,0.98452,0.69021,1.07241,0.4751,0.967,0.000120916,0.000120916,0.000120916
32,1004.34,1.11797,0.66391,1.03509,0.97456,0.97235,0.98456,0.69599,1.05014,0.46656,0.96507,0.000119213,0.000119213,0.000119213
33,1035.83,1.12227,0.66024,1.0432,0.98037,0.97037,0.98109,0.68971,1.06631,0.46252,0.96887,0.00011751,0.00011751,0.00011751
34,1067.06,1.10522,0.66263,1.031,0.97747,0.96877,0.98393,0.69349,1.0469,0.46437,0.98413,0.000115808,0.000115808,0.000115808
35,1098.39,1.08616,0.64787,1.02723,0.97465,0.9708,0.98362,0.68937,1.0683,0.47318,0.97476,0.000114105,0.000114105,0.000114105
36,1129.64,1.07463,0.63241,1.02481,0.97856,0.96396,0.9833,0.70197,1.02959,0.4667,0.9609,0.000112402,0.000112402,0.000112402
37,1160.77,1.05194,0.63884,1.01919,0.97789,0.96513,0.98404,0.6933,1.05727,0.46777,0.96925,0.000110699,0.000110699,0.000110699
38,1191.73,1.05244,0.6203,1.01328,0.98038,0.97012,0.98322,0.7009,1.00598,0.44801,0.963,0.000108996,0.000108996,0.000108996
39,1222.67,1.0389,0.60207,1.01522,0.97758,0.97041,0.98437,0.70174,1.01925,0.44551,0.96238,0.000107294,0.000107294,0.000107294
40,1253.75,1.03824,0.60425,1.01409,0.97733,0.97051,0.98331,0.68641,1.07301,0.45513,0.97517,0.000105591,0.000105591,0.000105591
41,1284.74,1.03483,0.61312,1.00646,0.97286,0.96816,0.98407,0.69107,1.04853,0.45192,0.9739,0.000103888,0.000103888,0.000103888
42,1315.74,1.02085,0.59771,1.00228,0.97788,0.96938,0.98369,0.69253,1.05642,0.45522,0.96949,0.000102185,0.000102185,0.000102185
43,1346.79,0.98942,0.58485,0.99152,0.97777,0.96397,0.98416,0.68695,1.07601,0.45795,0.98034,0.000100482,0.000100482,0.000100482
44,1377.91,0.99009,0.58175,0.99962,0.97675,0.96407,0.9843,0.69585,1.03463,0.44842,0.97084,9.87796e-05,9.87796e-05,9.87796e-05
45,1409.12,0.98981,0.58715,0.99921,0.97552,0.97401,0.98483,0.70297,1.03498,0.44063,0.9643,9.70768e-05,9.70768e-05,9.70768e-05
46,1440.58,0.95697,0.55932,0.97843,0.98257,0.96897,0.9836,0.68667,1.07296,0.44193,0.98905,9.5374e-05,9.5374e-05,9.5374e-05
47,1472.05,0.96228,0.57639,0.97954,0.97985,0.97187,0.98239,0.68979,1.05234,0.43876,0.9768,9.36712e-05,9.36712e-05,9.36712e-05
48,1503.58,0.9542,0.55355,0.97495,0.98141,0.96962,0.98409,0.69446,1.06327,0.4391,0.9737,9.19684e-05,9.19684e-05,9.19684e-05
49,1534.91,0.94489,0.55619,0.97518,0.97714,0.97215,0.984,0.6966,1.03041,0.43676,0.97129,9.02656e-05,9.02656e-05,9.02656e-05
