epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.4079,1.90569,4.73546,1.35659,0.11984,0.31827,0.13439,0.08784,1.21001,3.15551,0.96098,5.67361e-05,5.67361e-05,5.67361e-05
2,99.1266,1.6162,2.67661,1.18252,0.41092,0.63529,0.51978,0.33478,1.24484,1.82698,0.9971,0.000113618,0.000113618,0.000113618
3,145.918,1.58905,2.03281,1.21457,0.69333,0.73586,0.80925,0.55261,1.09608,1.19584,0.98554,0.000170045,0.000170045,0.000170045
4,192.995,1.53547,1.61272,1.21827,0.82295,0.86826,0.92105,0.61959,1.16238,0.93234,0.99653,0.000169957,0.000169957,0.000169957
5,240.49,1.51637,1.3897,1.2076,0.85428,0.89555,0.94857,0.64453,1.12126,0.84116,0.9839,0.000169276,0.000169276,0.000169276
6,291.575,1.531,1.25495,1.21537,0.89606,0.90062,0.96159,0.66178,1.08449,0.74716,0.97739,0.000168594,0.000168594,0.000168594
7,342.78,1.50863,1.16969,1.22286,0.93563,0.94345,0.97168,0.67168,1.09444,0.64362,0.97421,0.000167913,0.000167913,0.000167913
8,392.813,1.46966,1.05518,1.19748,0.94129,0.9484,0.97704,0.67378,1.09037,0.6292,0.97547,0.000167232,0.000167232,0.000167232
9,439.885,1.43598,1.03599,1.19262,0.96309,0.94031,0.97587,0.66737,1.11791,0.59479,0.98054,0.000166551,0.000166551,0.000166551
10,486.536,1.43489,1.01758,1.19135,0.95638,0.95288,0.97737,0.67744,1.09134,0.60134,0.97362,0.00016587,0.00016587,0.00016587
11,533.43,1.45532,0.98069,1.19004,0.9663,0.96415,0.98059,0.68604,1.06196,0.55577,0.96894,0.000165189,0.000165189,0.000165189
12,581.746,1.40751,0.9308,1.18664,0.97067,0.95806,0.98248,0.67318,1.11786,0.55724,0.97519,0.000164508,0.000164508,0.000164508
13,628.691,1.38195,0.88471,1.16909,0.97727,0.96361,0.98305,0.68342,1.09936,0.53208,0.97022,0.000163827,0.000163827,0.000163827
14,675.483,1.38482,0.87055,1.17016,0.97352,0.96318,0.98328,0.67748,1.11179,0.53887,0.97353,0.000163145,0.000163145,0.000163145
15,722.259,1.37291,0.84236,1.16603,0.97839,0.97325,0.98343,0.67467,1.10962,0.50961,0.97117,0.000162464,0.000162464,0.000162464
16,768.998,1.34565,0.82734,1.15105,0.97471,0.97186,0.98521,0.68097,1.08689,0.51047,0.97597,0.000161783,0.000161783,0.000161783
17,815.672,1.31939,0.81603,1.13559,0.97935,0.96855,0.98327,0.69717,1.04355,0.49431,0.95358,0.000161102,0.000161102,0.000161102
18,863.023,1.33272,0.8138,1.14987,0.97725,0.97233,0.98497,0.68089,1.08638,0.49332,0.97503,0.000160421,0.000160421,0.000160421
19,909.822,1.33448,0.8219,1.14917,0.9709,0.97115,0.98485,0.69498,1.05107,0.49855,0.96524,0.00015974,0.00015974,0.00015974
20,956.73,1.27943,0.7829,1.12523,0.97753,0.97033,0.98624,0.69413,1.06388,0.48498,0.9605,0.000159059,0.000159059,0.000159059
