epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1177.92,1.99817,5.89473,1.35883,0.19822,0.14536,0.03547,0.02219,1.271,4.22824,0.96654,5.67361e-05,5.67361e-05,5.67361e-05
2,2269.53,1.67662,3.68328,1.16084,0.14127,0.25304,0.11913,0.07329,1.29811,3.05832,0.98789,0.000110305,0.000110305,0.000110305
3,3338.43,1.64784,3.0395,1.17412,0.25912,0.44989,0.28916,0.19116,1.15696,2.44724,0.96656,0.00016009,0.00016009,0.00016009
4,4644.53,1.60825,2.61299,1.1655,0.41592,0.51799,0.44485,0.29417,1.17466,2.03556,0.96207,0.000154972,0.000154972,0.000154972
5,5911.94,1.59413,2.2558,1.16183,0.44922,0.6124,0.55964,0.34439,1.32808,1.77969,0.99935,0.000149296,0.000149296,0.000149296
6,7182.3,1.56668,1.98723,1.16493,0.56343,0.71575,0.68951,0.45631,1.20192,1.53044,0.96955,0.00014362,0.00014362,0.00014362
7,8438.47,1.54726,1.82082,1.15536,0.61613,0.67271,0.71696,0.49109,1.10225,1.4629,0.96022,0.000137944,0.000137944,0.000137944
8,9693.95,1.53715,1.70851,1.15535,0.67385,0.72613,0.78763,0.51959,1.18603,1.28902,0.97485,0.000132268,0.000132268,0.000132268
9,10985.1,1.50998,1.57865,1.14521,0.77889,0.73874,0.849,0.57972,1.12948,1.15661,0.95427,0.000126592,0.000126592,0.000126592
10,12233.8,1.50716,1.49828,1.15007,0.76884,0.80585,0.87364,0.58942,1.13771,1.07931,0.95287,0.000120916,0.000120916,0.000120916
11,13481.1,1.48622,1.44079,1.14183,0.79162,0.82262,0.89434,0.593,1.18352,1.05624,0.97324,0.00011524,0.00011524,0.00011524
12,14741.8,1.47052,1.3466,1.13925,0.84221,0.832,0.90959,0.61977,1.1205,0.96254,0.95792,0.000109564,0.000109564,0.000109564
13,15996,1.46332,1.29623,1.12451,0.84916,0.85592,0.92551,0.61916,1.17544,0.93516,0.96952,0.000103888,0.000103888,0.000103888
14,17247.4,1.47512,1.24994,1.13288,0.85994,0.83399,0.92443,0.62147,1.15568,0.92542,0.96357,9.8212e-05,9.8212e-05,9.8212e-05
15,18502.8,1.44249,1.19599,1.11767,0.86206,0.85992,0.93181,0.63131,1.12821,0.88361,0.95934,9.2536e-05,9.2536e-05,9.2536e-05
16,19753.4,1.42967,1.16988,1.11777,0.88893,0.87685,0.9411,0.64362,1.1136,0.84603,0.95667,8.686e-05,8.686e-05,8.686e-05
17,20999.2,1.39557,1.09645,1.10835,0.91277,0.87783,0.94852,0.64363,1.12303,0.81996,0.95484,8.1184e-05,8.1184e-05,8.1184e-05
18,22160.5,1.39449,1.10106,1.10564,0.91756,0.89314,0.95536,0.64927,1.13644,0.78662,0.95645,7.5508e-05,7.5508e-05,7.5508e-05
19,23227.3,1.38697,1.05257,1.10251,0.90122,0.89493,0.95177,0.64872,1.13262,0.79614,0.95906,6.9832e-05,6.9832e-05,6.9832e-05
20,24311.9,1.40923,1.05538,1.10971,0.91764,0.91291,0.95982,0.6536,1.14296,0.74992,0.95976,6.4156e-05,6.4156e-05,6.4156e-05
21,25486.3,1.3975,0.92366,1.14428,0.91942,0.8987,0.95482,0.65578,1.11619,0.76424,0.95649,5.848e-05,5.848e-05,5.848e-05
22,26536.6,1.35787,0.87592,1.1377,0.90305,0.90422,0.95706,0.64469,1.14748,0.75821,0.96501,5.2804e-05,5.2804e-05,5.2804e-05
23,27585.2,1.34844,0.86535,1.13136,0.92274,0.89749,0.96041,0.66629,1.08458,0.72735,0.94762,4.7128e-05,4.7128e-05,4.7128e-05
24,28641.5,1.34454,0.84193,1.12227,0.91291,0.91167,0.95967,0.66048,1.10893,0.73362,0.95743,4.1452e-05,4.1452e-05,4.1452e-05
25,29706.4,1.32141,0.83042,1.11171,0.91617,0.90911,0.9595,0.64959,1.13265,0.72472,0.96465,3.5776e-05,3.5776e-05,3.5776e-05
26,30770.6,1.3069,0.80158,1.11513,0.92235,0.90552,0.9618,0.66814,1.08432,0.70449,0.94847,3.01e-05,3.01e-05,3.01e-05
27,31820.3,1.28775,0.79805,1.10396,0.91712,0.91845,0.96007,0.66079,1.10519,0.70739,0.95128,2.4424e-05,2.4424e-05,2.4424e-05
28,32873.2,1.28336,0.78469,1.09847,0.93439,0.91092,0.96217,0.66193,1.10308,0.70009,0.95495,1.8748e-05,1.8748e-05,1.8748e-05
29,33928.4,1.27659,0.78337,1.09428,0.93441,0.91899,0.96304,0.6592,1.11411,0.69872,0.9552,1.3072e-05,1.3072e-05,1.3072e-05
30,34993.6,1.2884,0.77932,1.09628,0.9392,0.91624,0.96422,0.66059,1.10675,0.68967,0.95263,7.396e-06,7.396e-06,7.396e-06
